season,player_id,player,team,carries,receptions,touches,prior_ppr_points,prior_games,prior_ppr_ppg,next_season,next_team,next_touches,next_ppr_points,next_games,next_ppr_ppg,ppg_retention,absent_next_year,severe_decline_30pct,retained_or_improved
2022,00-0033925,D'Onta Foreman,CAR,203.0,5.0,208.0,131.0,16,8.188,2023,CHI,120.0,91.2,9,10.133,1.237543,0,0,1
2022,00-0036414,Cam Akers,LA,188.0,13.0,201.0,145.3,15,9.687,2023,LA/MIN,71.0,46.7,7,6.671,0.688655,0,1,0
2023,00-0033280,Christian McCaffrey,SF,272.0,67.0,339.0,395.3,16,24.706,2024,SF,65.0,49.8,4,12.45,0.503926,0,1,0
2023,00-0037256,Rachaad White,TB,272.0,64.0,336.0,271.9,17,15.994,2024,TB,195.0,205.6,15,13.707,0.857009,0,0,0
2023,00-0036973,Travis Etienne,JAX,267.0,58.0,325.0,282.4,17,16.612,2024,JAX,189.0,132.2,15,8.813,0.53052,0,1,0
2023,00-0033897,Joe Mixon,CIN,257.0,52.0,309.0,267.0,17,15.706,2024,HOU,281.0,240.5,14,17.179,1.093786,0,0,1
2023,00-0032764,Derrick Henry,TEN,280.0,28.0,308.0,246.66,17,14.509,2024,BAL,344.0,338.4,17,19.906,1.371976,0,0,1
2023,00-0035261,Tony Pollard,DAL,252.0,55.0,307.0,224.6,17,13.212,2024,TEN,301.0,204.7,16,12.794,0.968362,0,0,0
2023,00-0038120,Breece Hall,NYJ,223.0,76.0,299.0,290.5,17,17.088,2024,NYJ,266.0,244.9,16,15.306,0.895716,0,0,0
2023,00-0034844,Saquon Barkley,NYG,247.0,41.0,288.0,227.2,14,16.229,2024,PHI,378.0,357.3,16,22.331,1.375994,0,0,1
2023,00-0036893,Najee Harris,PIT,255.0,29.0,284.0,197.5,17,11.618,2024,PIT,299.0,204.6,17,12.035,1.035893,0,0,1
2023,00-0037248,James Cook,BUF,237.0,44.0,281.0,236.7,17,13.924,2024,BUF,239.0,266.7,16,16.669,1.197142,0,0,1
2023,00-0036555,Chuba Hubbard,CAR,238.0,39.0,277.0,182.5,17,10.735,2024,CAR,293.0,247.6,15,16.507,1.53768,0,0,1
2023,00-0038542,Bijan Robinson,ATL,214.0,58.0,272.0,252.3,17,14.841,2024,ATL,365.0,341.7,17,20.1,1.354356,0,0,1
2023,00-0035700,Josh Jacobs,LV,233.0,37.0,270.0,183.1,13,14.085,2024,GB,337.0,299.1,17,17.594,1.24913,0,0,1
2023,00-0036275,D'Andre Swift,PHI,229.0,39.0,268.0,201.3,16,12.581,2024,CHI,295.0,214.5,17,12.618,1.002941,0,0,1
2023,00-0036997,Javonte Williams,DEN,217.0,47.0,264.0,181.2,16,11.325,2024,DEN,191.0,161.9,17,9.524,0.840971,0,0,0
2023,00-0037840,Kyren Williams,LA,228.0,32.0,260.0,259.0,12,21.583,2024,LA,350.0,278.1,16,17.381,0.80531,0,0,0
2023,00-0033906,Alvin Kamara,NO,180.0,75.0,255.0,233.0,13,17.923,2024,NO,296.0,265.3,14,18.95,1.057301,0,0,1
2023,00-0037197,Isiah Pacheco,KC,205.0,44.0,249.0,215.9,14,15.421,2024,KC,95.0,56.9,7,8.129,0.527138,0,1,0
2023,00-0037267,Jerome Ford,CLE,204.0,44.0,248.0,213.2,17,12.541,2024,CLE,141.0,134.0,14,9.571,0.763177,0,0,0
2023,00-0038134,Kenneth Walker,SEA,219.0,29.0,248.0,199.4,15,13.293,2024,SEA,199.0,181.2,11,16.473,1.239224,0,0,1
2023,00-0035250,Devin Singletary,HOU,216.0,30.0,246.0,167.34,17,9.844,2024,NYG,134.0,100.6,15,6.707,0.681329,0,1,0
2023,00-0035685,David Montgomery,DET,219.0,16.0,235.0,209.2,14,14.943,2024,DET,221.0,223.72,14,15.98,1.069397,0,0,1
2023,00-0033045,Ezekiel Elliott,NE,184.0,51.0,235.0,176.5,17,10.382,2024,DAL,86.0,59.5,15,3.967,0.382104,0,1,0
2023,00-0033553,James Conner,ARI,208.0,27.0,235.0,201.5,13,15.5,2024,ARI,283.0,255.8,16,15.988,1.031484,0,0,1
2023,00-0039139,Jahmyr Gibbs,DET,182.0,52.0,234.0,244.1,15,16.273,2024,DET,302.0,364.9,17,21.465,1.319056,0,0,1
2023,00-0031687,Raheem Mostert,MIA,209.0,25.0,234.0,269.7,15,17.98,2024,MIA,104.0,74.9,13,5.762,0.320467,0,1,0
2023,00-0033699,Austin Ekeler,LAC,179.0,51.0,230.0,193.4,14,13.814,2024,WAS,112.0,132.3,12,11.025,0.798103,0,0,0
2023,00-0037746,Brian Robinson,WAS,178.0,36.0,214.0,202.1,15,13.473,2024,WAS,207.0,163.8,14,11.7,0.868403,0,0,0
2023,00-0034972,Alexander Mattison,MIN,180.0,30.0,210.0,137.2,16,8.575,2024,LV,168.0,139.4,14,9.957,1.161166,0,0,1
2023,00-0034184,Gus Edwards,BAL,198.0,12.0,210.0,191.0,17,11.235,2024,LAC,104.0,64.1,11,5.827,0.518647,0,1,0
2023,00-0037228,Jaylen Warren,PIT,149.0,61.0,210.0,200.4,17,11.788,2024,PIT,158.0,126.1,15,8.407,0.713183,0,0,0
2023,00-0036251,Zack Moss,IND,183.0,27.0,210.0,169.6,14,12.114,2024,CIN,97.0,83.9,8,10.488,0.865775,0,0,0
2023,00-0037263,Tyler Allgeier,ATL,186.0,18.0,204.0,137.6,17,8.094,2024,ATL,150.0,106.2,17,6.247,0.771806,0,0,0
2023,00-0036265,A.J. Dillon,GB,178.0,22.0,200.0,117.6,15,7.84,2024,,0.0,0.0,0,0.0,0.0,1,1,0
2024,00-0034844,Saquon Barkley,PHI,345.0,33.0,378.0,357.3,16,22.331,2025,PHI,317.0,232.3,16,14.519,0.650172,0,1,0
2024,00-0038542,Bijan Robinson,ATL,304.0,61.0,365.0,341.7,17,20.1,2025,ATL,366.0,370.8,17,21.812,1.085174,0,0,1
2024,00-0037840,Kyren Williams,LA,316.0,34.0,350.0,278.1,16,17.381,2025,LA,295.0,263.3,17,15.488,0.891088,0,0,0
2024,00-0032764,Derrick Henry,BAL,325.0,19.0,344.0,338.4,17,19.906,2025,BAL,322.0,279.5,17,16.441,0.825932,0,0,0
2024,00-0035700,Josh Jacobs,GB,301.0,36.0,337.0,299.1,17,17.594,2025,GB,270.0,237.1,15,15.807,0.898431,0,0,0
2024,00-0036223,Jonathan Taylor,IND,303.0,18.0,321.0,246.7,14,17.621,2025,IND,369.0,362.3,17,21.312,1.209466,0,0,1
2024,00-0033293,Aaron Jones,MIN,255.0,51.0,306.0,247.6,17,14.565,2025,MIN,160.0,118.7,12,9.892,0.679162,0,1,0
2024,00-0039139,Jahmyr Gibbs,DET,250.0,52.0,302.0,364.9,17,21.465,2025,DET,320.0,366.9,17,21.582,1.005451,0,0,1
2024,00-0035261,Tony Pollard,TEN,260.0,41.0,301.0,204.7,16,12.794,2025,TEN,275.0,185.8,17,10.929,0.854229,0,0,0
2024,00-0036893,Najee Harris,PIT,263.0,36.0,299.0,204.6,17,12.035,2025,LAC,18.0,11.6,3,3.867,0.321313,0,1,0
2024,00-0033906,Alvin Kamara,NO,228.0,68.0,296.0,265.3,14,18.95,2025,NO,164.0,100.7,11,9.155,0.483113,0,1,0
2024,00-0036275,D'Andre Swift,CHI,253.0,42.0,295.0,214.5,17,12.618,2025,CHI,257.0,228.6,16,14.287,1.132271,0,0,1
2024,00-0036555,Chuba Hubbard,CAR,250.0,43.0,293.0,247.6,15,16.507,2025,CAR,164.0,125.4,15,8.36,0.506452,0,1,0
2024,00-0038597,Chase Brown,CIN,229.0,54.0,283.0,257.0,16,16.062,2025,CIN,301.0,282.6,17,16.624,1.034989,0,0,1
2024,00-0033553,James Conner,ARI,236.0,47.0,283.0,255.8,16,15.988,2025,ARI,40.0,33.3,3,11.1,0.694271,0,1,0
2024,00-0039040,Devon Achane,MIA,203.0,78.0,281.0,299.9,17,17.641,2025,MIA,305.0,322.8,16,20.175,1.143643,0,0,1
2024,00-0033897,Joe Mixon,HOU,245.0,36.0,281.0,240.5,14,17.179,2025,,0.0,0.0,0,0.0,0.0,1,1,0
2024,00-0036139,Rico Dowdle,DAL,235.0,39.0,274.0,201.8,16,12.613,2025,CAR,275.0,216.3,17,12.724,1.0088,0,0,1
2024,00-0038120,Breece Hall,NYJ,209.0,57.0,266.0,244.9,16,15.306,2025,NYJ,279.0,207.66,16,12.979,0.847968,0,0,0
2024,00-0039361,Bucky Irving,TB,207.0,47.0,254.0,246.4,17,14.494,2025,TB,203.0,138.5,10,13.85,0.955568,0,0,0
2024,00-0036875,Rhamondre Stevenson,NE,207.0,33.0,240.0,181.9,15,12.127,2025,NE,162.0,178.8,14,12.771,1.053105,0,0,1
2024,00-0037248,James Cook,BUF,207.0,32.0,239.0,266.7,16,16.669,2025,BUF,342.0,302.2,17,17.776,1.066411,0,0,1
2024,00-0039384,Tyrone Tracy,NYG,192.0,38.0,230.0,186.3,17,10.959,2025,NYG,212.0,160.8,15,10.72,0.978191,0,0,0
2024,00-0036158,J.K. Dobbins,LAC,195.0,32.0,227.0,191.8,13,14.754,2025,DEN,164.0,115.9,10,11.59,0.78555,0,0,0
2024,00-0033923,Kareem Hunt,KC,200.0,23.0,223.0,155.4,13,11.954,2025,KC,181.0,145.4,17,8.553,0.715493,0,0,0
2024,00-0035685,David Montgomery,DET,185.0,36.0,221.0,223.72,14,15.98,2025,DET,182.0,166.92,17,9.819,0.614456,0,1,0
2024,00-0037746,Brian Robinson,WAS,187.0,20.0,207.0,163.8,14,11.7,2025,SF,100.0,62.5,17,3.676,0.314188,0,1,0
